episode,total_reward,avg_wait_time,total_wait_time,num_switches,num_overrides,steps,epsilon,timestamp
1,-1575.5243,212.57,76524.0,122,68,360,0.9773,2026-06-11 18:28:27
2,-1646.5529,226.54,81553.0,118,57,360,0.9545,2026-06-11 18:28:32
3,-1142.532,169.53,61032.0,120,57,360,0.9317,2026-06-11 18:28:37
4,-720.501,131.95,47501.0,135,75,360,0.9089,2026-06-11 18:28:43
5,-1428.1122,196.14,70612.0,124,74,360,0.8861,2026-06-11 18:28:50
6,-1575.7537,199.31,71753.0,127,67,360,0.8633,2026-06-11 18:28:56
